id	filename	md5	size	state
3f570c8c-70f8-48ae-9459-0c7560c538e0	nationwidechildrens.org_ssf.TCGA-BH-A18N.xml	e18d0f2c5ac106c1ba46e2c015ecdc24	15717	released
2952afb7-26d5-4e60-8b06-04108c98c302	nationwidechildrens.org_ssf.TCGA-E2-A1L9.xml	d3ed056b93abbbe13bdc75fba5a23b7d	15805	released
8ea103d5-065e-435b-9df4-3284189d1d59	nationwidechildrens.org_ssf.TCGA-BH-A0HO.xml	c8f11d0421089839b821d8283e59e636	15602	released
d0b1608b-c5bc-4147-8eb3-95176bc5e7cb	nationwidechildrens.org_ssf.TCGA-E9-A54Y.xml	416163cd41dfa4ae2cb23996c2d08554	14794	released
7f08eba7-03b4-4abd-a6f7-17c8f919dc9e	nationwidechildrens.org_ssf.TCGA-E2-A1IL.xml	dfc49b875aa247e83973bc465558a320	15710	released
011b4145-c839-4e70-803f-8c2045828d27	nationwidechildrens.org_ssf.TCGA-BH-A0C0.xml	d6fca2d17553cdfbef59a8f35c7656ea	18846	released
2de65e72-6523-4777-a12c-f8e3aa5fb9d5	nationwidechildrens.org_ssf.TCGA-OL-A66H.xml	62f8bb8757ff7e213f112a164de491e0	15062	released
5df84f1b-adab-49a8-be94-5dca5e3a185c	nationwidechildrens.org_ssf.TCGA-A2-A4S3.xml	c1e3901025e79d40c1fcef0d11234c9a	15034	released
c947c078-a3cf-4c64-a800-17b668133ca4	nationwidechildrens.org_ssf.TCGA-AR-A1AH.xml	80b02cec73726b308aab572a36113258	15757	released
4e04d2c1-c434-4782-ae40-69df7c400a05	nationwidechildrens.org_ssf.TCGA-5T-A9QA.xml	a6613fe1cc4aa62367e5ecc32543bf05	14900	released
bb0d0c48-a5e5-4369-9b9c-24ba129e6fef	nationwidechildrens.org_ssf.TCGA-E9-A228.xml	db01455a8f180bd0ff55f73387b325a4	15657	released
ddb87ba8-013b-47ce-8d89-6a353da3bbf1	nationwidechildrens.org_ssf.TCGA-E9-A5FL.xml	1d87ce9dca199f837059fdf7e884b5ab	14786	released
b49a041c-2f46-412f-b10d-b0dcb40737cb	nationwidechildrens.org_ssf.TCGA-AC-A5XS.xml	f857e211871de4a90bc1dcd7d652890e	17964	released
a653a92f-971f-434c-be5c-21c410f0a93f	nationwidechildrens.org_ssf.TCGA-A2-A0T0.xml	edcdc4911163a658616dd46251249faa	15637	released
76ec56e3-6645-414d-bf73-f4ad191fad69	nationwidechildrens.org_ssf.TCGA-A2-A3XS.xml	303873fb2121590f49f0d36ba722f9ff	15049	released
489d462d-ea19-4bce-aa81-950ed7a03432	nationwidechildrens.org_ssf.TCGA-AO-A03L.xml	06208b11c4bde6e536d27610e9389389	15676	released
6793c26a-86c3-41d7-903a-5f054a6883b1	nationwidechildrens.org_ssf.TCGA-A7-A2KD.xml	3b445c705be0055d301a78a675ba70e3	15743	released
535c2d8d-62c6-4e70-bd4f-35dfb6c2b535	nationwidechildrens.org_ssf.TCGA-BH-A0BA.xml	5fd2b75441814007d20fefe873c2f63b	18867	released
aae1b9b6-b5fc-496b-bc43-2b257bbc7b92	nationwidechildrens.org_ssf.TCGA-AR-A1AK.xml	53197bbc312087169208ce9b39d02943	15725	released
800d38b2-c7de-42be-9732-5b8ae696f878	nationwidechildrens.org_ssf.TCGA-LL-A7T0.xml	e3688bec4359677282fb509a55c724d7	14791	released
de009502-6cc3-47c6-b046-5e1196687fbf	nationwidechildrens.org_ssf.TCGA-A7-A0CH.xml	9cd38b5b81b198f4a7ba2ec063777435	18950	released
187f8c53-5d3f-46fb-ba27-30761f27ed8a	nationwidechildrens.org_ssf.TCGA-A1-A0SG.xml	f7472848566d2e8530b6e98ca4214cdf	15761	released
01526506-cef3-4698-98b3-4f7f4ca8bb8b	nationwidechildrens.org_ssf.TCGA-E2-A1L7.xml	e45339efcd6b8b311699699fa1d7e232	19057	released
